"week","start_date","end_date","n_days"
"W01","2019-08-19","2019-08-24","4"
"W02","2019-08-26","2019-08-31","5"
"W03","2019-09-02","2019-09-07","4"
"W04","2019-09-09","2019-09-14","5"
"W05","2019-09-16","2019-09-21","5"
"W06","2019-09-23","2019-09-28","5"
"W07","2019-09-30","2019-10-05","5"
"W08","2019-10-07","2019-10-12","5"
"W09","2019-10-14","2019-10-19","4"
"W10","2019-10-21","2019-10-26","4"
"W11","2019-10-28","2019-11-02","5"
"W12","2019-11-04","2019-11-09","5"
"W13","2019-11-11","2019-11-16","5"
"W14","2019-11-18","2019-11-23","5"
"W15","2019-11-25","2019-11-30","2"
"W16","2019-12-02","2019-12-07","5"
"W17","2019-12-09","2019-12-14","5"
"W18","2019-12-16","2019-12-21","5"
"W19","2020-01-06","2020-01-11","5"
"W20","2020-01-13","2020-01-18","0"
"W21","2020-01-20","2020-01-25","4"
"W22","2020-01-27","2020-02-01","5"
"W23","2020-02-03","2020-02-08","5"
"W24","2020-02-10","2020-02-15","4"
"W25","2020-02-17","2020-02-22","3"
"W26","2020-02-24","2020-02-29","5"
"W27","2020-03-02","2020-03-07","5"
"W28","2020-03-09","2020-03-14","5"
"W29","2020-03-16","2020-03-21","5"
"W30","2020-03-23","2020-03-28","1"
"W31","2020-03-30","2020-04-04","5"
"W32","2020-04-13","2020-04-18","5"
"W33","2020-04-20","2020-04-25","5"
"W34","2020-04-27","2020-05-02","5"
"W35","2020-05-04","2020-05-09","5"
"W36","2020-05-11","2020-05-16","5"
"W37","2020-05-18","2020-05-23","4"
"W38","2020-05-25","2020-05-30","5"
"W39","2020-06-01","2020-06-06","5"
"W40","2020-06-08","2020-06-13","4"
